id,correctors,corrected
169493,13,11
169492,4,2
169491,0,0
169490,10,11
169489,0,0
169488,9,7
169487,10,12
169486,0,0
169485,24,20
169484,0,0
169483,0,0
169482,16,22
169481,8,12
169480,0,0
169479,0,0
169478,0,0
169477,0,0
169476,8,12
169475,4,5
169474,7,8
169473,0,0
169472,0,0
169471,22,20
169372,24,17
169371,24,26
169370,13,17
169369,16,21
169368,4,4
169367,20,25
169366,8,12
169365,21,24
169364,24,26
169363,5,6
169362,18,17
169361,25,24
169360,23,22
169359,14,16
169358,20,15
169357,22,23
169356,13,15
169355,26,22
169354,11,10
169353,14,14
169352,0,0
169351,15,12
169350,8,9
169349,23,17
169348,6,9
169347,12,10
169346,11,12
169345,11,12
169344,18,23
169343,26,23
169342,5,9
169341,0,0
169340,20,17
169339,25,28
169338,19,16
169337,19,23
169336,12,7
169335,12,14
169334,13,5
169333,23,23
169332,5,5
169331,16,20
169330,5,7
169329,20,15
169328,11,12
169327,0,1
169326,16,12
169325,8,9
169324,17,15
169323,0,1
169322,22,23
169321,20,15
169320,17,19
169319,0,6
169318,17,20
169317,27,24
169316,18,15
169315,20,17
169314,21,24
169313,6,8
169312,23,24
169311,0,0
169310,17,15
169309,17,18
169308,8,1
169307,27,25
169306,11,9
169305,21,12
169304,21,16
169303,24,24
169302,10,6
169301,15,18
169300,24,27
168658,0,0
168353,0,6
167901,0,0
167311,13,11
167310,0,0
167309,2,0
167308,0,0
167307,5,3
167306,1,4
167305,0,0
167304,4,13
167303,0,0
167302,0,0
167301,0,0
167300,0,0
167299,0,0
167298,0,0
167297,28,32
167296,0,0
167295,0,5
167253,0,0
167208,0,23
166822,0,0
166821,0,0
166820,0,0
166819,0,0
166818,0,0
166817,0,0
166816,0,0
166815,0,0
166814,0,0
166813,0,0
165500,25,25
165494,0,0
165485,26,30
165416,0,0
165273,0,0
165272,49,47
165271,8,13
165270,36,37
165269,38,45
165268,38,40
165267,47,54
165266,27,27
165265,55,56
165264,13,14
165263,36,36
165262,36,34
165261,63,66
165260,35,38
165259,0,0
165258,48,50
165257,0,0
165256,0,2
165255,2,2
165254,0,0
165253,0,3
165252,2,3
165251,0,0
165250,0,0
165249,0,1
165248,0,2
165247,36,40
165246,37,39
165245,33,36
165244,52,50
165242,60,59
165241,34,38
165240,23,28
165239,49,48
165238,51,55
165236,74,76
165235,35,43
165233,46,48
165231,0,0
165228,27,30
165227,43,46
165226,38,32
165225,75,67
165222,45,48
165220,28,30
165217,53,61
165216,121,76
165215,6,5
165214,0,0
165213,31,35
165212,35,38
165210,39,42
165209,65,72
165208,17,17
165206,0,0
165205,12,10
165204,33,38
165203,37,42
165200,11,8
165199,23,28
165196,15,21
165195,28,26
165194,4,4
165193,84,89
165192,102,90
165190,0,0
165187,39,44
165186,74,80
165185,34,39
165184,0,2
165182,2,0
165181,10,16
165180,57,61
165178,34,41
165177,27,32
165176,18,21
165175,28,32
165173,32,34
165172,0,0
165169,40,46
165167,54,57
165166,8,11
165163,54,61
165161,38,34
165159,0,1
165155,5,8
165154,34,37
165153,16,21
165152,91,86
165151,0,0
165150,55,64
165148,0,2
165147,29,31
165145,51,49
165144,30,36
165139,10,16
165137,0,0
165133,3,6
165132,0,1
165130,0,0
165128,52,46
165126,0,0
165125,6,12
165123,84,81
165122,0,0
165118,0,0
165117,44,52
165115,23,24
165113,26,31
165111,19,22
165110,0,3
165107,0,2
165106,1,4
165104,33,34
165103,0,0
165100,5,9
165060,36,36
165058,0,1
165057,59,56
165053,4,3
165051,0,0
165050,66,61
165049,13,15
165046,51,57
165045,0,0
165042,47,44
165040,34,30
165039,84,81
165038,34,37
165035,15,21
165033,28,32
165032,55,57
165030,58,70
165029,23,31
165027,30,37
165024,53,55
165020,22,27
165016,9,12
165015,24,28
165010,25,27
165007,52,52
165005,81,82
165003,16,20
165001,43,43
164998,56,45
164994,52,58
164991,80,81
164986,11,18
164985,21,20
164984,8,3
164983,32,39
164982,0,6
164980,40,43
164979,28,35
164977,42,45
164960,0,0
164956,33,36
164954,26,23
164953,6,10
164952,0,0
164951,27,30
164946,74,71
164943,31,34
164942,39,39
164939,57,64
164937,48,51
164936,30,38
164935,49,50
164934,42,46
164931,84,92
164930,0,0
164928,49,56
164927,54,58
164926,36,39
164925,64,58
164923,54,56
164922,49,44
164921,51,48
164920,58,58
164919,48,56
164918,57,60
164917,51,59
164916,33,30
164915,50,42
164914,37,38
164913,12,16
164912,14,12
164911,61,58
164910,0,0
164909,37,44
164908,64,56
164907,0,1
164906,42,44
164905,50,51
164904,59,50
164903,41,47
164902,30,31
164901,32,35
164900,44,49
164899,74,77
164897,51,47
164896,36,38
164895,43,50
164894,29,23
164893,35,44
164892,38,35
164891,11,11
164889,13,17
164888,0,0
164886,0,0
164885,45,46
164878,8,13
164877,40,48
164875,2,1
164873,27,30
164872,58,56
164871,96,99
164870,0,0
164869,80,76
164868,51,50
164867,0,0
164866,28,31
164865,8,3
164864,39,47
164863,6,7
164862,64,70
164861,50,57
164860,27,33
164859,7,5
164858,31,30
164857,47,48
164856,30,36
164855,11,9
164854,95,95
164853,0,0
164852,13,17
164851,28,24
164850,23,24
164849,57,56
164848,52,52
164847,46,46
164846,39,36
164845,40,46
164844,43,43
164843,19,22
164842,27,31
164841,68,69
164840,59,65
164839,58,64
164838,45,51
164837,35,33
164836,63,62
164835,23,29
164834,148,109
164833,45,50
164832,9,13
164831,85,92
164830,42,49
164829,69,69
164828,41,43
164827,0,0
164826,41,45
164825,37,41
164824,39,44
164823,45,50
164822,0,0
164821,41,46
164820,44,47
164819,49,47
164818,0,0
164817,55,50
164816,0,2
164815,29,22
164814,55,58
164813,72,67
164812,83,75
164811,50,49
164810,0,2
164809,41,47
164808,27,29
164807,40,46
164806,35,36
164805,45,51
164804,31,40
164803,29,30
164802,0,0
164801,5,10
164800,44,55
164799,52,53
164798,82,83
164797,43,45
164796,44,48
164795,42,40
164794,0,0
164793,34,38
164792,33,27
164791,44,48
164790,0,0
164789,15,17
164788,68,75
164787,55,63
164786,49,53
164785,0,0
164784,118,103
164783,46,46
164782,42,48
164781,39,39
164780,49,49
164779,43,41
164778,63,69
164777,22,20
164776,2,4
164775,50,55
164774,46,54
164773,87,84
164772,0,0
164771,29,35
164770,0,0
164769,61,52
164768,28,34
164767,35,40
164766,40,49
164765,43,46
164764,47,53
164763,7,4
164762,52,58
164761,0,0
164760,54,49
164759,39,43
164758,52,56
164757,47,51
164753,4,0
164752,56,58
164750,55,56
164749,68,62
164748,31,32
164747,40,35
164746,60,61
164745,39,41
164744,28,31
164743,72,68
164742,44,46
164741,35,40
164740,30,33
164739,15,22
164738,85,88
164737,34,39
164736,82,79
164735,51,48
164734,38,46
164733,14,18
164732,63,66
164730,30,34
164729,43,46
164728,32,34
164727,4,10
164726,63,62
164725,64,71
164724,37,47
164723,12,13
164722,29,33
164721,21,27
164720,0,2
164719,5,9
164718,81,83
164717,0,0
164716,49,45
164715,59,67
164714,7,9
164713,31,36
164712,44,44
164711,9,10
164709,58,64
164708,82,82
164707,67,63
164706,40,50
164705,47,50
164704,64,66
164703,46,46
164702,48,51
164701,10,9
164700,27,35
164699,17,17
164698,24,30
164697,32,38
164696,90,91
164695,40,40
164694,44,41
164692,49,48
164691,0,0
164690,57,67
164689,2,2
164688,38,39
164687,54,39
164686,15,22
164685,23,32
164684,43,41
164683,36,40
164682,0,0
164681,76,79
164680,9,5
164679,50,55
164678,41,42
164677,30,35
164676,64,57
164675,30,36
164674,14,17
164673,59,60
164672,6,7
164671,38,44
164670,77,76
164669,50,57
164668,34,35
164667,71,73
164666,42,43
164665,40,45
164664,56,48
164663,41,44
164662,32,33
164661,57,62
164660,48,56
164659,28,33
164658,36,42
164657,47,49
164656,70,69
164655,0,0
164654,48,51
164653,0,0
164652,43,45
164651,37,43
164650,32,34
164648,51,58
164647,62,65
164646,32,38
164645,5,0
164644,53,54
164642,50,50
164641,5,11
164640,38,41
164639,53,56
164638,69,70
164637,0,1
164636,44,46
164635,40,43
164634,47,56
164633,44,49
164632,82,84
164630,106,86
164629,0,0
164628,33,32
164627,44,39
164626,57,64
164625,30,31
164624,60,53
164623,59,66
164622,17,22
164621,31,36
164620,0,1
164619,63,68
164618,32,35
164616,33,37
164615,82,86
164614,49,52
164613,87,92
164612,42,39
164611,39,42
164610,52,54
164609,23,26
164608,42,46
164607,77,86
164606,57,55
164605,81,88
164604,38,42
164603,41,48
164600,39,44
162757,0,0
162398,0,0
161507,0,0
159891,0,4
159795,0,5
159794,9,9
159793,0,0
159792,0,0
159790,0,1
159789,0,0
159788,46,46
159787,25,25
159784,7,14
159783,0,0
159782,0,1
159781,4,6
159780,5,11
159779,0,0
159778,35,37
159777,4,8
159776,68,37
159775,34,41
159774,45,47
159773,62,64
159772,75,77
159771,65,63
159770,41,49
159767,27,33
159766,35,30
159764,42,49
159763,48,39
159762,0,0
159761,28,35
159759,0,0
159758,51,53
159757,62,67
159755,38,37
159753,49,51
159752,31,35
159751,61,57
159750,48,49
159749,59,52
159748,23,24
159746,32,42
159745,32,37
159744,42,45
159743,13,17
159742,39,42
159741,0,0
159740,22,25
159739,70,73
159737,44,49
159736,0,0
159734,54,65
159733,17,22
159732,65,77
159731,2,1
159730,6,7
159727,19,22
159725,53,54
159724,2,7
159722,26,30
159721,39,43
159719,34,40
159716,74,80
159715,12,12
159714,48,55
159712,69,69
159710,0,0
159708,29,33
159707,66,67
159706,71,72
159705,26,30
159704,43,47
159703,24,33
159701,2,4
159700,51,45
159699,54,57
159697,69,69
159696,19,22
159695,49,51
159693,35,23
159692,50,47
159691,38,35
159690,61,72
159689,16,18
159688,38,39
159686,13,16
159685,21,28
159684,61,46
159682,38,34
159676,64,66
159675,15,16
159672,6,6
159671,14,8
159670,55,60
159669,36,48
159668,22,29
159666,19,20
159665,37,40
159664,45,43
159661,39,38
159660,20,25
159659,35,37
159658,54,54
159657,43,45
159656,4,10
159655,48,54
159654,54,41
159653,24,19
159651,0,0
159649,37,30
159647,51,53
159646,61,64
159644,0,0
159643,42,46
159642,33,38
159641,39,46
159639,14,19
159637,24,30
159636,8,10
159635,47,54
159634,0,1
159632,71,60
159630,22,26
159629,0,0
159626,50,60
159623,47,49
159621,68,69
159620,24,30
159619,73,72
159618,45,43
159617,55,55
159615,0,0
159613,41,42
159612,16,14
159610,34,41
159609,27,28
159608,28,34
159607,40,44
159605,44,47
159604,60,52
159602,37,38
159601,17,20
159600,40,42
159599,30,35
159598,0,1
159597,49,60
159596,30,25
159595,51,53
159594,50,52
159593,84,90
159592,0,0
159591,42,47
159585,33,38
159584,56,57
159583,40,43
159582,90,90
159581,58,55
159580,51,42
159579,37,38
159578,29,33
159577,46,47
159576,0,0
159575,28,29
159574,41,47
159573,7,9
159572,25,26
159571,19,22
159570,18,15
159569,25,20
159568,0,2
159567,40,40
159564,29,29
159563,16,18
159562,77,68
159561,11,11
159560,70,79
159559,66,73
159558,20,25
159557,46,48
159556,31,28
159555,51,58
159554,47,50
159553,37,35
159550,39,38
159549,29,33
159543,0,0
159539,32,38
159538,9,13
159537,2,5
159536,36,39
159535,34,27
159534,0,0
159533,41,44
159532,87,90
159531,30,37
159530,35,39
159529,31,41
159528,35,43
159527,46,45
159526,2,5
159525,0,0
159524,22,26
159523,54,55
159522,57,55
159521,30,32
159520,6,6
159519,39,51
159518,47,49
159517,91,84
159516,85,88
159515,21,19
159514,60,67
159513,28,33
159512,55,59
159511,58,64
159510,48,52
159509,36,40
159508,66,76
159507,7,10
159506,14,19
159505,61,63
159504,22,17
159503,0,0
159502,57,48
159501,46,53
159500,46,50
159499,52,55
159498,69,74
159497,37,34
159496,38,45
159495,47,44
159494,26,33
159493,45,48
159492,35,39
159491,0,0
159490,46,51
159489,43,41
159488,23,26
159487,18,23
159486,14,15
159485,35,40
159484,64,67
159483,8,6
159482,70,81
159481,41,44
159480,59,66
159479,43,37
159478,15,21
159477,38,37
159476,29,34
159475,22,30
159474,45,48
159473,29,33
159472,41,45
159471,36,41
159470,54,52
159469,48,57
159468,48,48
159467,39,43
159466,34,40
159465,62,67
159464,40,49
159463,27,28
159462,35,37
159461,48,52
159460,45,52
159459,11,4
159457,40,48
159456,48,55
159455,54,54
159454,32,35
159453,70,77
159452,22,21
159451,58,62
159450,41,30
159449,46,48
159448,18,23
159447,0,0
159446,19,25
159445,55,58
159444,3,1
159443,47,53
159442,39,35
159441,49,50
159440,79,86
159439,41,42
159438,50,51
159437,31,35
159436,0,0
159435,0,6
159434,35,36
159433,34,41
159432,33,38
159431,0,4
159430,94,58
159429,13,18
159428,30,20
159427,43,48
159426,71,74
159425,18,21
159424,69,67
159423,3,1
159422,0,5
159420,12,10
159419,29,33
159418,0,0
159417,34,26
159416,48,57
159415,70,64
159414,85,92
159413,52,58
159412,0,0
159411,40,46
159410,33,40
159408,22,29
159407,0,4
159406,40,52
159405,27,24
159404,32,36
159403,60,65
159402,73,79
159401,59,62
159400,0,1
159399,14,15
159398,83,89
159397,34,38
159396,37,35
159395,0,0
159394,46,49
159393,46,51
159392,46,52
159391,81,75
159390,23,27
159389,18,16
159387,64,65
159386,28,30
159385,47,45
159384,34,41
159383,0,0
159382,8,14
159381,20,23
159380,65,71
159379,78,77
159378,40,47
159377,16,18
159376,0,1
159375,4,5
159374,0,0
159373,51,56
159372,12,19
159371,0,0
159370,41,45
159369,22,26
159368,56,61
159367,33,26
159366,8,0
159365,28,32
159364,43,48
159363,2,5
159362,15,18
159361,14,17
159360,75,76
159359,99,98
159358,25,30
159357,0,0
159356,57,63
159355,17,24
159354,52,59
159353,43,51
159352,38,37
159351,31,34
159350,30,31
159349,52,48
159348,32,36
159347,43,40
159346,38,43
159345,23,24
159344,5,3
159343,37,41
159342,51,51
159341,56,64
159340,0,3
159339,39,45
159338,42,53
159337,28,37
159336,24,20
159335,2,4
159334,66,65
159333,22,23
159332,43,49
159331,0,1
159330,37,41
159329,2,0
159328,35,38
159327,69,72
159326,43,49
159325,15,22
159324,36,40
159323,54,56
159322,34,34
159321,25,35
159320,34,41
159319,36,39
159318,40,44
159317,21,20
159316,0,3
159315,55,60
159314,47,53
159313,55,54
159312,41,46
159311,39,43
159310,26,37
159309,47,51
159308,0,0
159307,6,8
159306,50,60
158931,0,0
158797,0,0
158796,2,3
158794,0,0
158793,5,5
158792,8,8
158791,0,0
158790,0,0
158789,9,14
158788,0,2
158787,14,10
158786,13,13
158785,11,12
158784,0,0
158783,0,0
158782,0,0
158781,0,0
158780,0,7
158779,0,0
158778,0,0
158777,0,0
158776,0,0
158775,0,0
158774,16,12
158773,0,2
158772,8,10
158771,0,0
158770,0,0
158769,4,6
158768,13,6
158767,0,0
158766,13,14
158765,0,0
158764,17,15
158763,0,0
158762,8,10
158761,0,0
158760,18,17
158759,0,0
158758,15,10
158757,0,0
158756,11,8
158755,0,0
158754,0,0
158753,10,13
158752,1,2
158751,18,12
158750,12,17
158749,0,0
158748,0,0
158747,2,3
158746,0,0
158745,0,0
158744,24,17
158743,14,18
158742,0,0
158741,0,0
158740,9,10
158739,4,6
158738,19,17
158737,19,13
158736,0,0
158735,0,0
158734,0,0
158733,0,2
158732,17,17
158731,0,0
158730,0,0
158729,0,0
158728,0,0
158727,19,21
158726,0,0
158725,17,18
158724,0,0
158723,17,15
158722,13,13
158721,16,12
158720,6,5
158719,16,12
158718,0,5
158717,5,5
158716,7,4
158715,11,15
158714,14,13
158713,15,18
158712,0,0
158711,14,17
158710,0,0
158709,16,15
158708,2,1
158707,0,0
158706,12,13
158705,13,15
158704,0,0
158703,6,11
158702,8,7
158701,7,12
158699,0,0
158698,18,22
158697,0,1
158696,0,0
158695,0,2
158694,0,0
158693,23,24
158692,0,0
158691,0,0
158690,16,16
158689,0,5
158688,11,11
158687,18,19
158686,7,6
158685,0,0
158684,0,0
158683,0,0
158682,0,0
158681,0,0
158680,0,0
158679,0,0
158678,20,24
158677,6,8
158676,3,1
158675,11,8
158674,24,22
158673,20,23
158672,3,6
158670,0,0
158669,16,15
158668,14,9
158667,0,0
158666,17,10
158665,10,10
158664,0,0
158663,13,13
158657,0,0
158656,0,0
158655,3,5
158654,11,10
158653,0,0
158652,0,0
158651,0,0
158650,0,0
158649,0,0
158648,0,0
158647,0,0
158646,0,0
158645,0,0
158644,0,0
158643,11,12
158642,5,7
158641,0,0
158640,0,0
158639,11,10
158638,0,0
158637,9,9
158636,0,0
158635,0,0
158634,0,0
158633,0,0
158632,13,14
158631,0,0
158630,0,0
158629,0,0
158628,0,0
158626,0,0
158625,0,0
158624,13,11
158623,0,0
158622,0,0
158621,4,8
158620,0,0
158619,0,0
158618,0,2
158617,0,0
158616,0,0
158615,0,0
158614,0,0
158613,0,0
158612,0,0
158611,0,0
158610,0,0
158609,0,0
158608,19,19
158607,25,19
158606,0,0
158605,0,0
158604,15,14
158603,0,0
158602,0,0
158601,0,0
158600,0,0
158599,0,0
158598,0,0
158597,0,0
158596,0,0
158595,0,0
158590,0,0
158589,0,0
158588,0,0
158587,0,0
158586,0,0
158585,0,0
158584,15,13
158583,13,14
158582,0,0
158581,0,0
158580,0,0
158579,0,0
158577,0,0
158576,0,0
158575,0,0
158574,4,5
158573,0,0
158572,0,0
158571,0,0
158570,0,0
158569,19,12
158568,0,0
158567,13,10
158566,20,18
158565,0,0
158564,0,0
158563,8,8
158562,0,0
158561,0,0
158560,12,11
158559,11,14
158558,0,0
158557,0,0
158555,14,3
158554,0,0
158553,0,0
158552,0,0
158551,0,0
158550,0,0
158549,0,0
158548,0,0
158547,0,0
158546,0,0
158545,0,0
158544,0,0
158543,10,11
158542,0,0
158541,0,0
158540,0,0
158539,16,18
158538,0,0
158537,0,0
158536,0,0
158535,0,1
158534,0,0
158533,14,18
158532,0,0
158531,19,19
158530,0,0
158529,0,0
158528,0,0
158525,0,0
158524,0,0
158484,0,0
158483,0,0
158482,0,0
158472,0,0
158471,0,0
158470,0,0
155558,0,0
154632,0,0
154155,53,57
154080,0,0
154079,1,1
154003,0,0
154002,19,22
154001,0,0
154000,57,58
153999,43,51
153998,51,54
153997,39,45
153996,120,95
153995,0,0
153994,24,28
153993,42,38
153992,29,38
153991,66,68
153990,34,36
153989,40,42
153988,32,39
153987,35,43
153986,43,50
153985,42,42
153984,54,49
153983,36,45
153982,49,54
153981,45,37
153980,2,2
153979,66,64
153978,5,10
153977,21,27
153976,46,57
153975,12,14
153974,31,36
153973,2,0
153972,44,50
153971,27,33
153970,0,0
153969,37,32
153968,48,46
153967,0,4
153966,45,49
153965,31,38
153963,69,66
153962,27,33
153961,59,62
153960,31,30
153959,33,41
153958,0,0
153957,6,8
153956,20,19
153955,25,30
153954,37,43
153953,52,55
153952,9,12
153951,54,66
153950,42,41
153949,38,41
153948,0,0
153947,46,56
153946,76,70
153945,0,0
153944,20,27
153943,74,64
153942,15,10
153941,36,40
153940,0,0
153939,43,43
153938,27,34
153937,39,38
153936,39,42
153935,101,88
153934,16,18
153933,10,14
153932,33,38
153931,57,46
153930,41,44
153929,64,68
153928,47,47
153927,19,21
153926,23,26
153925,36,41
153924,0,3
153923,4,2
153922,74,75
153921,34,36
153920,56,56
153919,29,38
153918,50,52
153917,49,46
153916,10,0
153915,31,33
153914,62,61
153913,37,39
153912,0,0
153911,102,99
153910,55,60
153909,22,20
153908,11,13
153907,52,53
153906,37,31
153905,58,56
153904,34,40
153903,55,49
153902,53,57
153901,30,25
153900,86,87
153899,2,6
153898,4,6
153897,52,59
153896,49,59
153895,60,65
153894,14,14
153893,89,98
153892,33,34
153891,83,89
153890,0,0
153889,40,39
153888,107,98
153887,42,46
153886,50,48
153885,104,73
153884,34,29
153883,71,61
153882,48,47
153881,46,50
153880,42,46
153879,49,57
153878,35,43
153877,79,83
153876,39,41
153875,65,68
153874,43,46
153873,42,52
153872,43,39
153871,69,74
153870,10,11
153869,43,52
153868,47,55
153867,44,46
153866,4,10
153865,26,25
153864,22,23
153863,63,68
153862,18,25
153861,8,9
153860,43,41
153857,44,50
153856,44,50
153855,61,65
153854,71,75
153853,56,47
153852,49,53
153851,51,57
153850,28,35
153849,8,8
153848,30,41
153847,78,88
153845,93,83
153844,0,1
153843,41,43
153842,39,38
153841,35,40
153840,38,45
153839,0,0
153838,73,82
153837,58,56
153836,48,57
153835,40,38
153834,52,59
153833,0,0
153832,14,19
153831,55,61
153829,60,50
153828,31,34
153827,52,49
153826,0,0
153825,37,40
153823,53,56
153822,54,57
153821,43,51
153820,14,21
153819,46,54
153818,0,2
153817,3,1
153816,30,26
153815,25,32
153814,49,58
153813,49,53
153812,42,49
153811,0,1
153810,71,71
153809,55,52
153808,35,37
153807,56,57
153806,50,59
153805,34,34
153804,27,32
153803,0,0
153802,12,17
153801,0,0
153800,45,47
153799,85,78
153798,0,0
153797,32,39
153796,52,60
153795,46,45
153794,57,55
153793,50,56
153792,55,57
153791,48,54
153790,50,53
153789,2,2
153788,0,0
153787,23,23
153786,20,27
153785,55,53
153784,49,54
153783,0,1
153782,43,52
153781,37,41
153780,67,68
153779,39,44
153778,41,44
153777,30,33
153776,58,64
153775,14,19
153774,49,60
153773,62,57
153771,38,49
153770,36,43
153769,26,30
153768,25,33
153767,33,35
153766,0,0
153765,41,47
153764,62,61
153763,45,46
153762,47,53
153761,43,43
153760,39,37
153759,37,36
153758,40,42
153757,77,83
153756,0,0
153755,82,82
153754,47,53
153753,29,35
153752,31,34
153751,40,44
153750,67,64
153749,73,60
153748,65,74
153747,10,5
153746,64,69
153745,19,20
153744,63,54
153743,48,43
153742,41,40
153741,51,60
153738,34,28
153737,65,64
153736,42,40
153735,27,32
153734,32,38
153733,37,36
153732,49,46
153731,24,28
153730,23,5
153729,40,44
153728,36,44
153727,53,59
153726,39,45
153725,38,43
153724,29,30
153723,51,41
153722,14,20
153721,26,29
153720,53,54
153719,33,31
153718,47,50
153717,40,44
153716,60,62
153715,40,45
153714,0,0
153713,35,33
153712,8,10
153711,57,61
153710,81,88
153709,50,53
153708,45,46
153707,52,55
153706,22,19
153705,0,0
153704,58,40
153703,9,7
153702,42,46
153701,3,4
153700,64,69
153699,31,37
153698,16,22
153697,32,34
153696,31,31
153695,66,74
153694,82,83
153693,0,0
153692,0,0
153691,38,43
153690,15,20
153689,56,67
153688,37,45
153687,45,50
153686,56,60
153685,40,32
153684,52,56
153683,39,42
153682,44,50
153681,34,38
153680,4,6
153679,3,5
153678,57,61
153677,74,78
153676,32,35
153675,55,53
153674,12,15
153673,40,38
153672,30,36
153671,60,63
153670,35,33
153669,2,0
153668,44,47
153667,40,41
153666,22,25
153665,31,35
153664,41,44
153663,51,56
153662,31,28
153661,37,35
153660,44,42
153659,41,42
153658,36,33
153657,32,33
153656,26,32
153655,0,0
153654,58,55
153653,32,37
153652,28,29
153651,28,34
153650,37,37
153649,25,24
153648,45,52
153647,53,55
153646,77,80
153640,0,0
152952,0,0
152951,0,0
152042,0,0
151659,0,0
151443,0,0
151442,0,0
151441,0,0
150730,0,0
150569,0,0
150568,0,0
150566,0,0
150564,0,0
150247,19,20
150246,13,13
150245,2,2
150244,8,8
150243,15,14
150242,13,12
150241,20,19
150240,0,0
150239,0,0
150238,0,0
150237,0,0
150236,0,0
150235,16,14
150234,10,13
150233,0,0
150232,0,0
150231,0,0
150230,5,7
150229,0,0
150228,9,10
150227,7,6
150226,15,16
150225,0,0
150224,3,5
150223,4,1
150222,0,0
150221,0,0
150220,22,18
150219,0,0
150218,0,0
150217,21,16
150216,0,0
150215,22,17
150214,18,13
150213,0,0
150212,0,0
150211,13,12
150210,5,6
150209,0,0
150208,14,9
150207,11,13
150206,0,0
150205,18,16
150204,0,0
150203,0,0
150202,0,0
150201,0,0
150200,0,0
150199,0,0
150198,0,0
150197,0,0
150196,21,18
150195,0,0
150194,14,9
150193,0,0
150192,11,14
150191,6,11
150190,14,10
150189,17,17
150188,0,2
150187,0,2
150186,10,12
150185,20,19
150184,13,13
150183,0,0
150182,0,2
150181,13,9
150180,0,0
150179,14,13
150178,0,0
150177,12,11
150176,12,12
150175,0,0
150174,0,0
150173,19,14
150172,16,19
150171,0,0
150170,0,0
150169,0,0
150168,16,11
150167,6,4
150166,11,11
150165,0,0
150164,0,0
150163,10,11
150162,0,0
150161,37,20
150160,0,0
150159,6,8
150158,36,19
150157,0,0
150156,0,1
150155,21,14
150154,24,18
150153,21,17
150152,18,19
150151,1,3
150150,18,14
150149,19,18
150148,0,0
149862,0,0
149834,0,0
149239,0,0
149238,0,0
149070,0,0
149069,0,0
148476,0,0
147975,0,0
147974,0,0
146684,0,0
146671,0,0
146086,0,0
145734,0,0
145183,0,0
144837,0,0
144836,0,0
144835,0,0
144834,0,0
144833,0,0
144832,0,0
144831,3,4
144830,0,0
144826,35,41
144824,44,47
144823,0,0
144821,39,42
144819,80,78
144818,35,41
144814,65,66
144813,0,0
144812,145,109
144809,0,0
144808,47,49
144807,0,0
144804,57,70
144802,32,40
144800,79,78
144799,28,31
144798,58,62
144797,21,25
144796,65,47
144793,40,44
144792,0,0
144791,28,45
144790,40,46
144788,27,33
144786,35,35
144785,69,71
144784,65,74
144782,50,62
144779,96,109
144778,67,77
144776,41,37
144774,25,25
144770,0,5
144769,51,52
144768,89,99
144767,0,0
144762,42,42
144761,81,66
144760,67,73
144758,35,41
144757,53,56
144754,0,0
144753,0,2
144752,1,4
144750,67,78
144744,0,0
144742,0,0
144740,23,25
144739,20,20
144738,15,18
144737,39,42
144734,63,65
144732,28,32
144731,22,29
